Animal,Error,Strategy,Region,I1,I2,Abs[Error],"Avg[I1,I2]",Relative Error
1,135.06755253,Cata,prePM7,4792.6174841,4657.5499316,135.06755253,4725.0837078,0.028585219
1,-43.90900874,Cata,pm7,10868.931857,10912.840866,43.90900874,10890.886362,0.0040317204
1,39.785834719,Cata,pm6,7241.5023487,7201.716514,39.785834719,7221.6094313,0.0055092753
1,-13.02958854,Cata,pm5,4034.2476603,4047.2772488,13.029588536,4040.7624546,0.0032245371
1,23.325102211,Cata,pm4,8801.6293954,8778.3042932,23.325102211,8789.9668443,0.0026536053
1,31.986979367,Cata,pm3,7120.0559406,7088.0689612,31.986979367,7104.0624509,0.0045026321
1,91.256642041,Cata,postPM3,3801.4901108,3710.2334688,91.256642041,3755.8617898,0.0242971246
1,9.5467856697,Cata,medialAxis,6578.0124271,6568.4656414,9.5467856697,6573.2390343,0.0014523716
1,17.058354907,Cata,wholePharynx,6393.0120599,6375.953705,17.058354907,6384.4828824,0.002671846
2,213.68532229,Cata,prePM7,4836.3015111,4622.6161888,213.68532229,4729.4588499,0.0451817701
2,67.002226415,Cata,pm7,10761.471434,10694.469208,67.002226415,10727.970321,0.0062455641
2,19.847997732,Cata,pm6,7060.5750027,7040.727005,19.847997732,7050.6510039,0.0028150589
2,63.679859431,Cata,pm5,4092.0518351,4028.3719756,63.679859431,4060.2119054,0.0156838758
2,131.71837061,Cata,pm4,8726.0643234,8594.3459528,131.71837061,8660.2051381,0.0152096132
2,24.372929677,Cata,pm3,7059.0291725,7034.6562428,24.372929677,7046.8427077,0.0034587021
2,-16.23271711,Cata,postPM3,3711.5012844,3727.7340015,16.232717111,3719.6176429,0.0043640822
2,61.916098533,Cata,medialAxis,6546.6147722,6484.6986736,61.916098533,6515.6567229,0.0095026643
2,64.041909558,Cata,wholePharynx,6361.3438217,6297.3019121,64.041909558,6329.3228669,0.0101182877
3,36.688265093,Cata,prePM7,4662.2204896,4625.5322245,36.688265093,4643.8763571,0.0079003536
3,-81.89742589,Cata,pm7,10560.222451,10642.119877,81.897425892,10601.171164,0.0077253187
3,-92.79248152,Cata,pm6,6940.8178032,7033.6102847,92.792481516,6987.214044,0.0132803262
3,-22.99509261,Cata,pm5,3989.4831598,4012.4782524,22.995092608,4000.9807061,0.005747364
3,-123.8933762,Cata,pm4,8537.0268938,8660.92027,123.89337619,8598.9735819,0.0144079261
3,-36.23245954,Cata,pm3,6989.1826358,7025.4150953,36.232459539,7007.2988655,0.0051706742
3,-105.2471032,Cata,postPM3,3654.2850303,3759.5321335,105.24710319,3706.9085819,0.0283921496
3,-46.84388599,Cata,medialAxis,6439.398927,6486.242813,46.843885987,6462.82087,0.0072482105
3,-47.11040322,Cata,wholePharynx,6253.3811543,6300.4915575,47.110403216,6276.9363559,0.007505318
4,115.04638915,Cata,prePM7,6027.1808621,5912.134473,115.04638915,5969.6576675,0.019271857
4,-88.46487594,Cata,pm7,10283.882339,10372.347215,88.464875944,10328.114777,0.0085654428
4,-108.100029,Cata,pm6,6688.5704875,6796.6705166,108.10002903,6742.620502,0.0160323466
4,-57.12024829,Cata,pm5,3996.8523011,4053.9725494,57.120248287,4025.4124252,0.0141899121
4,-79.14223698,Cata,pm4,8565.1264633,8644.2687003,79.142236978,8604.6975818,0.0091975617
4,-59.69574848,Cata,pm3,6998.5388246,7058.2345731,59.695748477,7028.3866989,0.0084935208
4,-80.0041864,Cata,postPM3,3746.3516276,3826.355814,80.004186395,3786.3537208,0.0211296124
4,-57.51112015,Cata,medialAxis,6485.1952445,6542.7063647,57.511120152,6513.9508046,0.0088289153
4,-56.22146258,Cata,wholePharynx,6313.4224291,6369.6438917,56.221462582,6341.5331604,0.0088655947
5,-291.8722973,Cata,prePM7,4398.113853,4689.9861503,291.87229731,4544.0500017,0.064231753
5,72.867659041,Cata,pm7,10654.056982,10581.189323,72.867659041,10617.623152,0.0068628975
5,91.970803153,Cata,pm6,7033.5165309,6941.5457277,91.970803153,6987.5311293,0.0131621314
5,-9.999811476,Cata,pm5,3996.7768051,4006.7766166,9.9998114757,4001.7767109,0.0024988429
5,2.5003361564,Cata,pm4,8643.3991442,8640.898808,2.5003361564,8642.1489761,0.0002893188
5,28.839795076,Cata,pm3,7025.9654205,6997.1256254,28.839795076,7011.5455229,0.0041131866
5,111.86501853,Cata,postPM3,3852.1955661,3740.3305475,111.86501853,3796.2630568,0.0294671409
5,2.8184792946,Cata,medialAxis,6467.0754982,6464.2570189,2.8184792946,6465.6662586,0.0004359148
5,3.3453316603,Cata,wholePharynx,6281.3688684,6278.0235368,3.3453316603,6279.6962026,0.0005327219
6,80.7780716,Cata,prePM7,4562.3074901,4481.5294185,80.7780716,4521.9184543,0.0178636728
6,-9.509100866,Cata,pm7,10593.135589,10602.64469,9.509100866,10597.890139,0.0008972636
6,-11.97966477,Cata,pm6,6926.6103889,6938.5900537,11.979664771,6932.6002213,0.001728019
6,-23.22345524,Cata,pm5,3987.8013986,4011.0248538,23.223455242,3999.4131262,0.0058067158
